date,route,time_slot,day_of_week,month,is_weekend,is_monsoon,delay_minutes
2025-10-10,Churchgate-Virar,Morning Peak (7-10am),Friday,10,0,0,11
2025-10-10,Churchgate-Virar,Afternoon (12-3pm),Friday,10,0,0,3
2025-10-10,Churchgate-Virar,Evening Peak (5-8pm),Friday,10,0,0,19
2025-10-10,Churchgate-Virar,Night (9pm-12am),Friday,10,0,0,7
2025-10-10,CSMT-Kalyan,Morning Peak (7-10am),Friday,10,0,0,11
2025-10-10,CSMT-Kalyan,Afternoon (12-3pm),Friday,10,0,0,9
2025-10-10,CSMT-Kalyan,Evening Peak (5-8pm),Friday,10,0,0,23
2025-10-10,CSMT-Kalyan,Night (9pm-12am),Friday,10,0,0,6
2025-10-10,Panvel-CSMT,Morning Peak (7-10am),Friday,10,0,0,15
2025-10-10,Panvel-CSMT,Afternoon (12-3pm),Friday,10,0,0,7
2025-10-10,Panvel-CSMT,Evening Peak (5-8pm),Friday,10,0,0,8
2025-10-10,Panvel-CSMT,Night (9pm-12am),Friday,10,0,0,7
2025-10-10,Harbour Line,Morning Peak (7-10am),Friday,10,0,0,7
2025-10-10,Harbour Line,Afternoon (12-3pm),Friday,10,0,0,5
2025-10-10,Harbour Line,Evening Peak (5-8pm),Friday,10,0,0,6
2025-10-10,Harbour Line,Night (9pm-12am),Friday,10,0,0,7
2025-10-11,Churchgate-Virar,Morning Peak (7-10am),Saturday,10,1,0,11
2025-10-11,Churchgate-Virar,Afternoon (12-3pm),Saturday,10,1,0,0
2025-10-11,Churchgate-Virar,Evening Peak (5-8pm),Saturday,10,1,0,1
2025-10-11,Churchgate-Virar,Night (9pm-12am),Saturday,10,1,0,0
2025-10-11,CSMT-Kalyan,Morning Peak (7-10am),Saturday,10,1,0,0
2025-10-11,CSMT-Kalyan,Afternoon (12-3pm),Saturday,10,1,0,4
2025-10-11,CSMT-Kalyan,Evening Peak (5-8pm),Saturday,10,1,0,11
2025-10-11,CSMT-Kalyan,Night (9pm-12am),Saturday,10,1,0,3
2025-10-11,Panvel-CSMT,Morning Peak (7-10am),Saturday,10,1,0,16
